num;grd;slc;ocn;raw
33;S1B_IW_GRDH_1SDV_20200221T054745_20200221T054810_020363_026919_B169;S1B_IW_SLC__1SDV_20200221T054744_20200221T054811_020363_026919_0E4E;S1B_IW_OCN__2SDV_20200221T054745_20200221T054810_020363_026919_E12F;S1B_IW_RAW__0SDV_20200221T054741_20200221T054814_020363_026919_8651
34;S1B_IW_GRDH_1SDV_20200402T170912_20200402T170937_020968_027C5A_D1AB;S1B_IW_SLC__1SDV_20200402T170911_20200402T170938_020968_027C5A_2EF6;S1B_IW_OCN__2SDV_20200402T170912_20200402T170937_020968_027C5A_F00F;S1B_IW_RAW__0SDV_20200402T170908_20200402T170941_020968_027C5A_100B
35;S1B_IW_GRDH_1SDV_20200527T054813_20200527T054838_021763_0294E5_40F3;S1B_IW_SLC__1SDV_20200527T054812_20200527T054838_021763_0294E5_89D9;S1B_IW_OCN__2SDV_20200527T054813_20200527T054838_021763_0294E5_4D44;S1B_IW_RAW__0SDV_20200527T054809_20200527T054842_021763_0294E5_8FF0
36;S1B_IW_GRDH_1SDV_20200615T054004_20200615T054029_022040_029D41_AA74;S1B_IW_SLC__1SDV_20200615T054003_20200615T054030_022040_029D41_DDDC;S1B_IW_OCN__2SDV_20200615T054004_20200615T054029_022040_029D41_152C;S1B_IW_RAW__0SDV_20200615T054000_20200615T054033_022040_029D41_3560
37;S1B_IW_GRDH_1SDV_20200620T165738_20200620T165803_022120_029FAC_17D8;S1B_IW_SLC__1SDV_20200620T165737_20200620T165804_022120_029FAC_BB0B;S1B_IW_OCN__2SDV_20200620T165738_20200620T165803_022120_029FAC_5053;S1B_IW_RAW__0SDV_20200620T165735_20200620T165807_022120_029FAC_D4CC
38;S1B_IW_GRDH_1SDV_20200726T165740_20200726T165805_022645_02AFAD_1863;S1B_IW_SLC__1SDV_20200726T165739_20200726T165806_022645_02AFAD_6A9B;S1B_IW_OCN__2SDV_20200726T165740_20200726T165805_022645_02AFAD_5B30;S1B_IW_RAW__0SDV_20200726T165737_20200726T165809_022645_02AFAD_0FBF
39;S1B_IW_GRDH_1SDV_20200803T075721_20200803T075746_022756_02B2FF_033A;S1B_IW_SLC__1SDV_20200803T075720_20200803T075748_022756_02B2FF_E5D2;S1B_IW_OCN__2SDV_20200803T075721_20200803T075746_022756_02B2FF_6002;S1B_IW_RAW__0SDV_20200803T075718_20200803T075750_022756_02B2FF_3E98
40;S1B_IW_GRDH_1SDV_20200807T054752_20200807T054817_022813_02B4C5_9152;S1B_IW_SLC__1SDV_20200807T054751_20200807T054818_022813_02B4C5_01F5;S1B_IW_OCN__2SDV_20200807T054752_20200807T054817_022813_02B4C5_BAE1;S1B_IW_RAW__0SDV_20200807T054748_20200807T054821_022813_02B4C5_8E28
41;S1B_IW_GRDH_1SDV_20200807T054817_20200807T054842_022813_02B4C5_427B;S1B_IW_SLC__1SDV_20200807T054816_20200807T054843_022813_02B4C5_5575;S1B_IW_OCN__2SDV_20200807T054817_20200807T054842_022813_02B4C5_1A9E;S1B_IW_RAW__0SDV_20200807T054813_20200807T054846_022813_02B4C5_39C7
42;S1B_IW_GRDH_1SDV_20200823T051852_20200823T051917_023046_02BC20_01ED;S1B_IW_SLC__1SDV_20200823T051851_20200823T051918_023046_02BC20_FDFA;S1B_IW_OCN__2SDV_20200823T051852_20200823T051917_023046_02BC20_68BC;S1B_IW_RAW__0SDV_20200823T051848_20200823T051920_023046_02BC20_8114
43;S1B_IW_GRDH_1SDV_20200826T054008_20200826T054033_023090_02BD74_B091;S1B_IW_SLC__1SDV_20200826T054007_20200826T054034_023090_02BD74_03D2;S1B_IW_OCN__2SDV_20200826T054008_20200826T054033_023090_02BD74_0DB7;S1B_IW_RAW__0SDV_20200826T054005_20200826T054037_023090_02BD74_DF4D
44;S1B_IW_GRDH_1SDV_20200831T054753_20200831T054818_023163_02BFB2_EBE9;S1B_IW_SLC__1SDV_20200831T054752_20200831T054819_023163_02BFB2_13D6;S1B_IW_OCN__2SDV_20200831T054753_20200831T054818_023163_02BFB2_507B;S1B_IW_RAW__0SDV_20200831T054750_20200831T054822_023163_02BFB2_C85D
45;S1B_IW_GRDH_1SDV_20200905T055557_20200905T055622_023236_02C208_9FE2;S1B_IW_SLC__1SDV_20200905T055556_20200905T055623_023236_02C208_B2C6;S1B_IW_OCN__2SDV_20200905T055622_20200905T055647_023236_02C208_E6C9;S1B_IW_RAW__0SDV_20200905T055553_20200905T055626_023236_02C208_A102
46;S1B_IW_GRDH_1SDV_20200912T054754_20200912T054819_023338_02C52B_F9AA;S1B_IW_SLC__1SDV_20200912T054753_20200912T054820_023338_02C52B_D4CB;S1B_IW_OCN__2SDV_20200912T054754_20200912T054819_023338_02C52B_2BF7;S1B_IW_RAW__0SDV_20200912T054750_20200912T054823_023338_02C52B_6649
47;S1B_IW_GRDH_1SDV_20200922T060416_20200922T060441_023484_02C9BF_7889;S1B_IW_SLC__1SDV_20200922T060415_20200922T060442_023484_02C9BF_EA4B;S1B_IW_OCN__2SDV_20200922T060416_20200922T060441_023484_02C9BF_3E84;S1B_IW_RAW__0SDV_20200922T060412_20200922T060444_023484_02C9BF_0307
48;S1B_IW_GRDH_1SDV_20200929T170921_20200929T170946_023593_02CD35_8971;S1B_IW_SLC__1SDV_20200929T170920_20200929T170947_023593_02CD35_0989;S1B_IW_OCN__2SDV_20200929T170921_20200929T170946_023593_02CD35_50BB;S1B_IW_RAW__0SDV_20200929T170917_20200929T170950_023593_02CD35_01DC
49;S1B_IW_GRDH_1SDV_20201013T054010_20201013T054035_023790_02D350_506A;S1B_IW_SLC__1SDV_20201013T054008_20201013T054035_023790_02D350_04D0;S1B_IW_OCN__2SDV_20201013T054010_20201013T054035_023790_02D350_2F2A;S1B_IW_RAW__0SDV_20201013T054006_20201013T054038_023790_02D350_2232
50;S1B_IW_GRDH_1SDV_20201018T054754_20201018T054819_023863_02D58D_CCCF;S1B_IW_SLC__1SDV_20201018T054753_20201018T054820_023863_02D58D_8CE7;S1B_IW_OCN__2SDV_20201018T054754_20201018T054819_023863_02D58D_50BA;S1B_IW_RAW__0SDV_20201018T054751_20201018T054823_023863_02D58D_5BFF
